"Genotype","predicted.value","std.error","status","AVSED","h2_Cullis","Gvar","pop","co_loc","pop_BLUE"
"FBR2N30",16.759502767831,2.84392812995075,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N32",19.6749258654266,2.8477349886707,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N35",18.4316163819169,2.83588026390282,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N37",18.8754363222839,2.85069418992976,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N38",18.2359134490781,2.84764830588747,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N40",22.6909193772707,2.88054070058629,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N41",24.4943259735839,2.84477365590062,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N42",17.4897903844413,2.849458283821,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N43",20.7349744097662,2.83880790000287,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N44",20.3272118721299,2.84343869789512,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N45",20.452484662959,2.85091732114524,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N46",15.277083508976,2.85194551679336,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N48",17.4295019719873,2.84741289209416,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N5",15.7139002338441,2.84846661759098,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N50",16.5719995916041,2.85468508241478,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N51",26.6230945679172,2.85059441235241,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N53",19.7885887188148,2.84303409027816,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N55",24.3821523054622,2.85163287728623,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N56",24.2943811347434,2.8450092774607,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N57",14.3751245567461,2.85403675024772,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
