taxa,PC1,PC2,PC3
LAR2N18,-6.39091990468837,-22.4876194345326,-14.443736218085
LAR2N2,3.07008168377778,23.1396302814932,-3.94445178986099
LAR2N20,3.49976473449726,38.4729984887881,-19.8592386063529
LAR2N21,7.35718157605398,-26.7802065751529,-5.59259967956612
LAR2N22,-7.17930079630123,-0.266098094952333,-37.3737589033602
LAR2N23,11.699471141094,-0.469799411502293,-27.3255498723369
LAR2N28,16.1520849002963,13.1132290613866,13.1199904641331
LAR2N29,1.58228457207427,2.20608402539299,-11.5071172482846
LAR2N3,9.89584230555362,-34.7377736172893,7.92590175590751
LAR2N31,-13.6198777882035,-7.3304375404464,21.6019275159817
LAR2N32,2.14669845888703,-32.5193342794796,-9.45188405494964
LAR2N33,-14.3166745871518,19.0898860336019,-2.15368953193649
LAR2N35,30.8475979179877,-32.5243072246655,25.051794343804
LAR2N36,2.20520614967445,5.75166593511918,-33.1873888461401
LAR2N38,1.9681183012423,15.4287094495841,35.3680612170202
LAR2N39,0.809508155743943,19.061614207573,8.50925479071992
LAR2N40,-19.742331989275,-29.208103106962,0.237549672807765
LAR2N42,7.96653756189735,-28.4834717143605,-24.6859082252061
LAR2N44,14.0195758613714,10.2244097924948,-2.35150537538832
LAR2N54,13.0933703135213,17.1536120234425,-2.52100714108773
LAR2N55,24.0671282701274,-10.6625620484909,-1.31792691419634
LAR2N56,7.95181512655755,3.47397967424744,-18.623380515069
LAR2N57,-16.038250568904,16.1459497772015,8.57456555584514
LAR2N58,6.39295934272106,21.6170631093379,14.2530610103949
LAR2N59,9.23244680913432,-17.5382176525438,-4.2381130630329
LAR2N6,11.9988219660066,-27.5291174061225,-23.131654366893
LAR2N60,12.3688622650113,-16.0484607644119,9.28914680843127
LAR2N62,-12.0157364750721,28.4961325535152,-17.938333727275
LAR2N63,-27.9292601212621,24.4270498367331,-2.25577048800738
LAR2N65,20.8318180971861,-24.6085684027055,-5.96953924155945
LAR2N67,10.5587189269981,6.29807060758123,-37.0696541418085
LAR2N68,11.4316699572577,8.55120128896682,-13.9888127883555
LAR2N69,10.7714826826172,5.56155699059073,-0.542219131908971
LAR2N70,-15.6866107024745,18.6127518190939,-0.962773434039202
LAR2N72,19.4730200217685,4.92035941593737,2.76189626246994
LAR2N73,19.6883752236739,5.29152015390478,-8.63323910077476
LAR2N76,18.6667009224445,11.2040169669314,27.717955382893
LAR2N77,-3.9403358489118,24.2851892205442,-1.93569856031624
LAR2N79,10.7975514611191,-0.46620485208057,-34.3814801887639
LAR2N8,17.6931192607743,17.0914999832756,23.4897047257074
LAR2N84,-16.3409517001513,19.1247851142778,34.4104759951348
LAR2N86,2.26734458663478,-29.7015150250463,-15.1751011724518
LAR2N88,21.6465271620267,3.95215196596458,-23.3568676535685
LAR2N90,2.00366359764984,1.29472354401383,-15.7624916814885
LAR2N91,22.4639104670751,37.1185223471702,-30.996267441971
