"Genotype","predicted.value","std.error","status"
"FBR1N97",0.801336443723707,0.293632654818448,"Estimable"
"FBR1N98",0.916434514477896,0.300441522933909,"Estimable"
"FBR1N99",0.881310485607587,0.294217408261525,"Estimable"
"FBR2N1",0.897885893875708,0.298138897225859,"Estimable"
"FBR2N10",0.88071492192904,0.305511214247212,"Estimable"
"FBR2N101",0.883480895581703,0.307194665992426,"Estimable"
"FBR2N102",0.843338186706809,0.292821658816619,"Estimable"
"FBR2N11",0.860868984030295,0.297855096524163,"Estimable"
"FBR2N12",0.905069085412224,0.30029353139397,"Estimable"
"FBR2N13",0.898187946601995,0.300502714310311,"Estimable"
"FBR2N16",0.839881714426641,0.293227770044062,"Estimable"
"FBR2N17",0.864117416231114,0.298838313432985,"Estimable"
"FBR2N18",0.865176085080911,0.30066167817419,"Estimable"
"FBR2N2",0.878199896074432,0.301940780639767,"Estimable"
"FBR2N20",0.865372510740282,0.299022941605843,"Estimable"
"FBR2N21",0.907230951414502,0.300523130122706,"Estimable"
"FBR2N23",0.934944473704423,0.31992563972328,"Estimable"
"FBR2N24",0.900768465258932,0.292810898897223,"Estimable"
"FBR2N26",0.918651472090099,0.298824348254529,"Estimable"
"FBR2N27",0.910556697133922,0.301060421321435,"Estimable"
"FBR2N28",0.836139103574306,0.30088446242954,"Estimable"
"FBR2N3",0.837378816198963,0.29199655028973,"Estimable"
"FBR2N30",0.931153326931118,0.306378646618086,"Estimable"
"FBR2N32",0.858639206015788,0.29813492985002,"Estimable"
"FBR2N35",0.917671579433083,0.290952851046173,"Estimable"
"FBR2N37",0.841873231244477,0.30294985888684,"Estimable"
"FBR2N38",0.892313772421424,0.301846837168454,"Estimable"
"FBR2N40",0.927431819463457,0.300546523679567,"Estimable"
"FBR2N41",0.917260600787582,0.300628517795459,"Estimable"
"FBR2N42",0.857094005323239,0.310209382532697,"Estimable"
"FBR2N43",0.878040914433717,0.308019576343645,"Estimable"
"FBR2N44",0.837815219176839,0.298852466070475,"Estimable"
"FBR2N45",0.875868855419405,0.292351139024675,"Estimable"
"FBR2N46",0.908392822655857,0.296442382814815,"Estimable"
"FBR2N48",0.893804323365739,0.294243306945554,"Estimable"
"FBR2N5",0.83977033144787,0.309047575340732,"Estimable"
"FBR2N50",0.868470623968079,0.300586549312226,"Estimable"
