taxa,PC1,PC2,PC3
FBR3N37,-36.1280788493772,-41.1207181558085,16.1950555538183
FBR3N38,-41.8048446888595,-42.9242380062328,-3.23618542571817
FBR3N39,-41.6270135204083,-34.9717722123872,-1.55986598560144
FBR3N41,-39.5037596381046,-42.6020946557357,7.34636428997415
FBR3N44,-35.7757011162106,-37.1082801914779,-31.9846691725949
FBR3N45,-41.6900452889946,-33.9801596962553,24.5251245895535
FBR3N47,-36.1898676213614,-44.840492760099,12.9859009226257
FBR3N48,-36.3058990517781,-43.7022608113739,-4.81640491067359
FBR3N5,-41.3014374239393,-41.2128566592174,-27.1275110047266
FBR3N52,-35.6490523684437,-41.8316770193087,22.3340405991722
FBR3N55,-41.3172949915564,-31.4597720091218,1.75134602140026
FBR3N57,-40.2403163030753,-43.3832712012233,4.48095045894975
FBR3N59,-42.6374303327505,-38.1808986261625,11.5979282018298
FBR3N60,-35.6953683379973,-37.1189327170089,8.44223429390293
FBR3N61,-41.1437712474813,-42.0280109905715,10.872104898421
FBR3N63,-41.4343377087029,-43.2450019898642,29.5171292638981
FBR3N66,-39.6108455119024,-40.8500710607409,-13.6673901266246
FBR3N69,-39.3283436726169,-42.3490744554083,14.7264750766887
FBR3N72,-39.7112288509712,-51.1262125093375,9.0656716768783
FBR3N73,-42.6256810815061,-46.044029536682,26.0082494904908
FBR3N75,-41.9109532926018,-40.8049286256791,-29.3489824224772
FBR3N77,-41.9853071907589,-44.3192385676326,-11.5411731077696
FBR3N78,-33.1759816546718,-34.9775880294365,-30.2935335521025
FBR3N8,-44.4424212119887,-33.1588817704859,7.31900368535915
FBR3N80,-45.9131702869561,-37.8474581266583,-12.1406004925371
FBR3N81,-44.0391646037435,-35.9851626437628,-16.6615778203104
FBR3N82,-36.3514510478384,-39.9866531312821,-26.5705425190603
FBR3N84,-35.6408695737904,-47.6430532510244,-7.76625062697723
FBR3N9,-37.4909155051243,-35.0305086428666,-0.0677982439960927
FBR3N90,-39.0045613658401,-58.2000420805445,31.3288906963823
FBR3N93,-42.3022966071388,-38.2608025119606,-15.661233170599
FBR3N94,-37.0292709531184,-31.7779041623527,12.843036072962
FBR3N95,-31.4121076114569,-36.298357410658,-28.9408518806754
LAR1N100,70.2330800549787,-3.83638392946856,-17.3816759046828
LAR1N103,78.2478306527423,5.2387199150823,-30.0752619654041
LAR1N106,63.3112957647883,-0.152246178612782,11.1625792361377
LAR1N107,70.3209468447304,-8.40540535799615,13.7362189274748
LAR1N108,72.8547274010758,-5.66324981334084,-14.6496683332186
LAR1N109,67.6093125486878,5.97682120822021,-14.1791837768228
LAR1N111,57.4829655383144,-8.49251992187737,12.3888741384792
LAR1N114,64.8762203242436,-8.17284466520527,-2.90516822987601
LAR1N117,72.2392309701624,-0.446875371031028,4.13071910169413
LAR1N119,68.7305893403762,-3.29278407471454,7.28403237197683
LAR1N125,66.4871862578423,-1.577687710917,-13.298801399238
LAR1N69,66.7056744390009,-0.18991449886972,-5.06445990012464
LAR1N72,69.9768711188769,-5.90641054485706,-2.83444078968404
LAR1N74,64.1180469173767,1.90496955901875,-17.0211135958274
LAR1N75,65.9630593291906,-3.42802414392533,4.41321414504918
LAR1N78,62.7190458503375,-7.11608980194506,-9.55841137348486
LAR1N79,69.4073385369601,-3.68369278537027,3.15137162518604
LAR1N81,69.3705414919319,-7.87023394949391,-4.07351224221355
LAR1N83,69.5160041556852,-1.28367020851277,-2.49380289627058
LAR1N85,67.6316560043089,-1.011152611745,10.7623851818232
LAR1N91,67.0247452810998,0.421605384199595,8.92272322559018
LAR1N98,67.4017111330038,3.76216654195844,2.2707750692416
LAR1N99,69.9133520073326,-1.52297312278659,-14.8266797601001
LAR2N1,66.2233846679652,3.00199873709462,14.1742154425665
LAR2N10,68.0981289387091,-11.4011222468107,1.32107708694789
LAR2N100,69.0595380615701,-9.31261480886076,13.1156423520047
LAR2N101,57.5838483685134,-4.36524793763432,2.70766004588276
